data,address,win_rate,followers,trades_30d,pnl_30d,pnl_ratio,sol_balance,wallet_age_days,tags,twitter
2026-04-22,8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,0.555,39,1999,5789.78,0.02,22.99,97.0,smart_degen,
2026-04-22,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,0.393,24249,27763,74590.87,0.086,704.79,409.0,"axiom,bullx,gmgn,top_renamed,wash_trader",vibed333
2026-04-22,9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,0.552,612,1281,8954.5,0.035,259.03,0.0,"axiom,bullx,padre,smart_degen",
2026-04-22,8gV31ab8mT4N4wKdu4rWNA6GgfZtuJtimtvVJrMaH13U,0.414,8,2662,3975.55,0.074,22.57,39.0,smart_degen,
2026-04-22,CxWRfadzmKT3vQtX76UXcHVqTd2GrMWuMMNi2jHAVrz4,0.423,39,2663,4060.02,0.073,19.39,323.0,"axiom,smart_degen",
2026-04-22,7sk2oHqqE9wEzDZNPCDsoZTmrCeznJ3hV98fauzB3xPY,0.398,20,2653,3716.66,0.07,18.97,27.0,smart_degen,
2026-04-22,GXecNAvw1wzWoZATM1ki18i8g4PNqkWKGz2kPV4uA5mP,0.398,0,706,2651.91,0.034,11.09,9.0,smart_degen,
2026-04-22,8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,0.307,46,2924,6359.09,0.085,17.01,249.0,smart_degen,
2026-04-22,Dw5VykxuTNQeh8c9TxUPsaM7Rwxkmy74rLr63wB3LG8j,0.693,14,2820,1838.92,0.018,74.39,,smart_degen,
2026-04-22,zeroDbresTUpHKau1vP4jXrkqtN8Dmh8yuEqyn6GMYh,0.797,90,9815,19732.81,0.034,0.51,61.0,smart_degen,
2026-04-22,456xjxMrRKcp5odo8B1McWiTbvTUffFi5iCV1Ky9Sft7,0.42,133,3008,48777.49,0.084,39.99,63.0,smart_degen,
2026-04-22,8tUwW6UGBtjDAe7fLRsyMc2362v2oKPw6UHLPbyEcatF,0.326,54,1532,8301.94,0.039,45.16,55.0,"padre,smart_degen",
2026-04-22,GdiM7NF9RC6RDMhyLeWEsGv365x9L9vQfRdXSCwHAYSm,0.475,65,2463,6751.21,0.02,0.1,178.0,"fomo,smart_degen",
2026-04-22,gecko1QDvtNHwqY5SjXLzuDmGDUnzu7ZEmtGHRFLr9v,0.507,170,3518,7388.71,0.016,0.48,90.0,smart_degen,
2026-04-22,6bxvSqw7bzRHTPNf2ZRvywLRqJ9LFn47sHaq5sd6bk5o,0.296,396,560,7948.27,0.027,99.11,318.0,"axiom,gmgn,photon,smart_degen",jaystoolate
2026-04-22,GdHwBcMUSnmuUt8dCjE3oySUNHtGRK4WCAh9KKtakScF,0.519,11,380,2508.76,0.031,33.23,37.0,smart_degen,
2026-04-23,8CuFCxoGHUMWV8EXcKN25gWkxTiGvkJe4uQpXfRubPYV,0.416,22,6395,6345.31,0.038,30.14,46.0,smart_degen,
2026-04-23,H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,0.433,328,6905,28545.18,0.113,113.19,409.0,"axiom,smart_degen",
2026-04-23,z9RPuqzWJskcRrhWNfcwmWExbsP6i5ob53raQRF8nFw,0.416,15,6376,6336.89,0.038,29.22,46.0,smart_degen,
2026-04-23,GT4NDJHsGQvjBGatevrEN5NS3GTGYtveMcGYtYgb1wzD,0.42,23,6432,7813.67,0.047,27.78,45.0,smart_degen,
2026-04-23,GdiM7NF9RC6RDMhyLeWEsGv365x9L9vQfRdXSCwHAYSm,0.47,66,2423,6113.75,0.018,0.15,178.0,"fomo,smart_degen",
2026-04-23,RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,0.797,1042,46202,8291.11,0.001,12.73,271.0,sandwich_bot,
2026-04-23,4X77FRfDnQRhER7AmFXSxXRdqobi1Fa7hingewBDVgSc,0.519,17,2272,4059.85,0.033,8.18,0.0,"axiom,gmgn,smart_degen",
2026-04-23,23FuTEa7iUU9tGBBQKAkyYKEGjQiZYN3CE8jHvLJv7Ua,0.409,13,792,3157.2,0.093,2.55,37.0,smart_degen,
2026-04-23,7BVsMqCRoeEtvVeasYGrRhy83gHr5ZSJBnpV7QeCFQs4,0.455,153,2776,13581.6,0.023,20.63,0.0,"axiom,smart_degen",nevdevvv
2026-04-23,AEqPi4RCD7uRXmMB5ec6V4ehT74Ra2kEdmqVqtHUmyLh,0.363,91,6177,5872.89,0.012,24.43,0.0,"axiom,smart_degen",
2026-04-23,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,0.393,24253,25490,66834.65,0.083,705.28,409.0,"axiom,bullx,gmgn,top_renamed,wash_trader",vibed333
